time="2023-12-11T08:06:34.276278581-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:34.471248392-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:34.479807965-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:34.480092163-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:34.772050359-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:34.772465327-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:34.772581407-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:34.879620023-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:35.670677694-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:36.069961777-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:36.990257415-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:37.016671406-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:37.269488693-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:37.269493993-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:37.371695243-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:37.570916813-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:37.67545768-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:37.675621523-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:37.67564212-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.169828015-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.170029122-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.172315674-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.175522781-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.182908345-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.373658813-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.470146945-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.470320645-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.476766367-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:38.971302977-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:39.075405129-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
